state,action,q_value
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",3,0.6357211976792769
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",2,0.5904899999999977
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",7,0.5904899999999926
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",9,0.5902610117041615
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",1,0.6527121466621596
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",6,0.6353689069975544
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",5,0.5904899999999977
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",4,0.6337724905761042
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",8,0.6363570369260114
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",4,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",2,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",8,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",7,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",9,0.7072292273621773
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",6,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",1,0.0
"[[0, 0, 'O'], [0, 0, 0], [0, 0, 0]]",5,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",7,0.025450998878433516
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",9,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",1,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",5,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",8,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",2,0.0
"[[0, 0, 'O'], ['X', 0, 0], [0, 0, 0]]",6,0.0
"[[0, 0, 'O'], ['X', 0, 0], ['O', 0, 0]]",5,0.0
"[[0, 0, 'O'], ['X', 0, 0], ['O', 0, 0]]",6,0.0
"[[0, 0, 'O'], ['X', 'X', 0], ['O', 0, 0]]",1,0.0
"[[0, 0, 'O'], ['X', 'X', 0], ['O', 0, 0]]",2,0.0
"[['O', 0, 'O'], ['X', 'X', 0], ['O', 0, 0]]",6,0.1
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",4,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",1,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",9,0.6560999999999979
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",3,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",8,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",5,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",6,0.0
"[[0, 'O', 0], [0, 0, 0], [0, 0, 0]]",7,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",8,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",3,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",6,0.004170690000000001
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",9,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",7,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",5,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 0, 0]]",1,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 'O', 0]]",5,0.0
"[[0, 'O', 0], ['X', 0, 0], [0, 'O', 0]]",7,-0.009000000000000001
"[[0, 'O', 0], ['X', 'X', 0], [0, 'O', 0]]",1,0.0
"[['O', 'O', 0], ['X', 'X', 0], [0, 'O', 0]]",9,0.0
"[['O', 'O', 0], ['X', 'X', 0], [0, 'O', 'X']]",3,-0.1
"[['O', 'O', 0], ['X', 'X', 0], [0, 'O', 'X']]",7,0.0
"[[0, 0, 0], [0, 0, 0], ['X', 0, 0]]",3,0.0
"[[0, 0, 0], [0, 0, 0], ['X', 0, 0]]",2,0.0
