Episode,Reward,Result
0,1.0,win
1,-1.0,lose
2,-1.0,lose
3,-1.0,lose
4,1.0,win
5,-1.0,lose
6,1.0,win
7,1.0,win
8,-1.0,lose
9,-1.0,lose
10,1.0,win
11,1.0,win
12,1.0,win
13,0.5,tie
14,0.5,tie
15,-1.0,lose
16,1.0,win
17,1.0,win
18,-1.0,lose
19,0.5,tie
20,1.0,win
21,1.0,win
22,1.0,win
23,0.5,tie
24,-1.0,lose
25,1.0,win
26,-1.0,lose
27,1.0,win
28,-1.0,lose
29,-1.0,lose
30,1.0,win
31,-1.0,lose
32,1.0,win
33,-1.0,lose
34,0.5,tie
35,1.0,win
36,-1.0,lose
37,1.0,win
38,-1.0,lose
39,1.0,win
40,1.0,win
41,-1.0,lose
42,1.0,win
43,1.0,win
44,-1.0,lose
45,1.0,win
46,1.0,win
47,1.0,win
48,1.0,win
49,-1.0,lose
50,1.0,win
51,-1.0,lose
52,-1.0,lose
53,0.5,tie
54,1.0,win
55,1.0,win
56,-1.0,lose
57,-1.0,lose
58,1.0,win
59,1.0,win
60,0.5,tie
61,1.0,win
62,-1.0,lose
63,0.5,tie
64,-1.0,lose
65,-1.0,lose
66,1.0,win
67,-1.0,lose
68,-1.0,lose
69,-1.0,lose
70,-1.0,lose
71,0.5,tie
72,1.0,win
73,0.5,tie
74,-1.0,lose
75,1.0,win
76,-1.0,lose
77,-1.0,lose
78,-1.0,lose
79,-1.0,lose
80,-1.0,lose
81,0.5,tie
82,-1.0,lose
83,0.5,tie
84,1.0,win
85,1.0,win
86,-1.0,lose
87,1.0,win
88,-1.0,lose
89,-1.0,lose
90,-1.0,lose
91,-1.0,lose
92,-1.0,lose
93,1.0,win
94,1.0,win
95,-1.0,lose
96,-1.0,lose
97,-1.0,lose
98,1.0,win
99,1.0,win
100,1.0,win
101,-1.0,lose
102,-1.0,lose
103,1.0,win
104,1.0,win
105,-1.0,lose
106,0.5,tie
107,-1.0,lose
108,-1.0,lose
109,1.0,win
110,1.0,win
111,1.0,win
112,0.5,tie
113,0.5,tie
114,-1.0,lose
115,-1.0,lose
116,1.0,win
117,1.0,win
118,-1.0,lose
119,1.0,win
120,-1.0,lose
121,0.5,tie
122,1.0,win
123,-1.0,lose
124,1.0,win
125,0.5,tie
126,-1.0,lose
127,-1.0,lose
128,1.0,win
129,-1.0,lose
130,-1.0,lose
131,0.5,tie
132,-1.0,lose
133,1.0,win
134,-1.0,lose
135,1.0,win
136,0.5,tie
137,-1.0,lose
138,1.0,win
139,-1.0,lose
140,-1.0,lose
141,-1.0,lose
142,-1.0,lose
143,1.0,win
144,0.5,tie
145,-1.0,lose
146,-1.0,lose
147,0.5,tie
148,-1.0,lose
149,1.0,win
150,1.0,win
151,1.0,win
152,1.0,win
153,-1.0,lose
154,1.0,win
155,-1.0,lose
156,1.0,win
157,-1.0,lose
158,-1.0,lose
159,1.0,win
